symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2025-05-05 04:00:00+00:00,284.57,284.849,274.4,280.26,94618882.0,1233954.0,279.233292
TSLA,2025-05-06 04:00:00+00:00,273.105,277.73,271.35,275.35,76715792.0,1008547.0,274.447189
TSLA,2025-05-07 04:00:00+00:00,276.88,277.92,271.0,276.22,71882408.0,953496.0,274.671214
TSLA,2025-05-08 04:00:00+00:00,279.63,289.8,279.41,284.82,97539448.0,1269219.0,285.627456
TSLA,2025-05-09 04:00:00+00:00,290.21,307.04,290.0,298.26,132387835.0,1815734.0,299.712436
TSLA,2025-05-12 04:00:00+00:00,321.99,322.21,311.5,318.38,112826661.0,1726223.0,317.361892
TSLA,2025-05-13 04:00:00+00:00,320.0,337.5894,316.8,334.07,136992574.0,1953281.0,327.941951
TSLA,2025-05-14 04:00:00+00:00,342.5,350.0,337.0,347.68,136997264.0,2035914.0,344.733807
TSLA,2025-05-15 04:00:00+00:00,340.34,346.1393,334.7153,342.82,97882596.0,1497945.0,340.835245
TSLA,2025-05-16 04:00:00+00:00,346.24,351.62,342.33,349.98,95895665.0,1379605.0,347.526299
TSLA,2025-05-19 04:00:00+00:00,336.3,343.0,333.37,342.09,88869853.0,1323410.0,339.574317
TSLA,2025-05-20 04:00:00+00:00,347.87,354.9899,341.63,343.82,131715548.0,1692674.0,347.943686
